LANGUAGE,English,Polish,Finnish

STRINTRO,PMC Conflict
STRLOAD,Fight against Russians along with your NATO friends,Wraz z NATO walcz przeciwko Rosjanom,Taistelkaa Venäläisiä vastaan NATO liittolaistenne kanssa
BATTLE,Battle Hotspot,Koncentracja walk,Taistelupaikka
BOXES,Ammo boxes,Skrzynie z amunicj¹,Ammuslaatikot
NATO,NATO forces,Si³y NATO,NATO joukot
RUSSIAN,Russian forces,Wojska rosyjskie,Venäläisten joukot
HOSPITAL,Hospital,Szpital polowy,Sairaala
DEPOT,Ammo depot,Magazyn,Ammusvarasto
CONGRATULATIONS,CONGRATULATIONS mission end! Now just clean up the area and you're done!,GRATULACJE! Koniec misji!\nPozosta³o ju¿ tylko posprz¹taæ.,"ONNITTELUT!\nTehtävä päättyi!\nPutsatkaa nyt alue, niin homma selvä."
